abhor	 …'を'ひどくきらう,嫌悪する 
exalt	 (高い地位に)〈人〉‘を'『昇進させる』,上げる《+『名』〈人〉+『to』+『名』》 / 〈人など〉‘を'ほめる,賞賛する
exist	 『存在する』,実在する / 『生在する』,生きている / 生じる,見られる,起こる 
expwy	 expressway 
extra	 『余分の』(additional);『臨時の』,特別の,割増しの / 『付属するもの』(別売りの不属品など) / (新聞の)告外《+『to』+『名』》 / 割増し料金 / (映画の)エキストラ / 余分に / 異常に,特別に 
exult	 大喜びする 
exurb	 準郊外(郊外のさらに外部にあり,富裕階級が住む地域) 
fable	 〈C〉(動物などを擬人化し教訓を含んだ)『寓話』 / 〈C〉伝説;神話 / 〈U〉《集合的に》伝説(legends);神話(myths) / 〈C〉作り話;うそ
faced	 (…に)面した,直面した《+『with』+『名』》 / 上張りをした,縁飾りをした
facet	 (宝石・結晶などのなめらかな)面,切り子面 / (物事の)面(aspect)
faint	 (音・色・考えなどが)『かすかな』,ぼんやりした / (努力・行動などが)『弱々しい』,熱のない;気の弱い,勇気のない / 《補語にのみ用いて》(で)『気が遠くなって』目が回りそうで《+『with』(『from』)+『名』》 / (…で)『気が遠くなる』,気絶する《+『with』(『from』)+『名』》 / 気絶,失神 
fairy	 『妖精』(ようせい) / 妖精の / 妖精のような,優美な 
faith	 〈U〉『信頼』,信用;確信,信念 / 〈U〉(…への)『信仰』,(…に対する)信心(belief)《+『in』+『名』》 / 〈C〉教義,信条(doctrine) / 〈U〉信義,誠実(sincerity) / 〈U〉誓約,約束 
faker	 偽造者,ねつ造する人 / 詐欺師,ペテン師
fakir	 (イスラム教・バラモン教などの)行者,たくはつ僧 
false	 『正しくない』,誤った / 『本物でない』,作りものの(artificial) / 人を誤らせるような,人を惑わせる(deceptive) / 信頼を裏切る,不実な / うそを言う,正直でない / だまして
famed	 名高い;(…で)有名な《+『for』+『名』》 
fancy	 〈U〉(取りとめのない)『空想』,想像 / 空想したもの,根拠のない考え(意見) / 〈C〉(…に対する)『好み』(liking)《+『for』+『名』(do『ing』)》 / 『装飾的な』,意匠をこらした / 空想に基づく,気まぐれな / 《名詞の前にのみ用いて》(商品が)高級な,特選の,極上の / 《名詞の前にのみ用いて》《話》(値段が)法外な / 高度の技術の(を要する),こみ入った / 《名詞の前にのみ用いて》(動植物が)珍種の / …‘を'『空想する』,想像する(《米》imagine) / …‘を'『好む』 / 《『fancy doing』》…したい気がする / (なんとなく)…‘と'『思う』 
farce	 笑劇,どたばた喜劇,道化芝居 / 茶番的行為,ばかげた事件
fated	 宿命の,破滅を運命づけられた,運のつきた 
fault	 〈C〉『欠点』,短所(defect) / 〈C〉『誤り』,落ち度 / 〈U〉(過失の)『責任』,罪 / 〈C〉断層(地層の食い違い) / 〈C〉フォールト(テニスなどでサーブの失敗) / …‘の'あら捜しをする / あやまちを犯す / 断層を生じる
feast	 (宗教的な)『祝祭』,祭礼;祭日,祝日 / 祝宴,宴会(banquet);ごちそう / (…の)目や耳を楽しませるもの,(…にとっての)楽しみ《+『for』(『to』)+『名』》 / (…で)…‘に'『ごちそうする』,‘を'もてなす《+名+on(upon)+名》 / 《文》(…で)〈目や耳〉‘を'喜ばせる,楽しませる《+『名』+『on』(『upon』)+『名』》 / 宴を張って〈時〉‘を'過ごす《+『名』+『away』》 / (…の)祝宴に列する,(…を)ごちそうになる《+『on』(『upon』)+『名』》 
fecal	 大便の 
feign	 …‘の'『ふりをする』,‘を'装う(pretend) / 〈口実など〉‘を'作り上げる,でっち上げる(invent) / 見せかける,偽る 
feint	 (ボクシング・フェンシングなどで)攻撃のふりをすること;(戦闘で敵をあざむくための)陽動作戦 / 見せかけ
felon	 重罪犯人 
femur	 大腿骨(だいたいこつ)(thighbone) 
feral	 (動植物が)野生の / 野生に返った
ferny	 シダの,シダの茂った 
fetch	 (行って)〈物〉‘を'『取って来る』;〈人〉‘を'連れて来る / 〈返事・笑い・涙など〉‘を'引き出す;〈観客など〉‘を'引きつける / 《話》〈商品が〉〈ある値〉‘で'売れる / 〈ため測・うめき声など〉‘を'漏らす,出す / (品物を)行って用る;〈猟犬が〉獲物を取って来る 
fetid	 (特に水が)悪臭を放つ 
fibre	 =fiber 
fiche	 =microfiche 
fichu	 婦人用三角ストール 
field	 〈C〉『野原』,[牧]草地;田;畑;《the fields》田野,田畑 / 〈C〉(雪・氷などの)原,広がり / 〈C〉(鉱物などの)産出地,埋蔵地 / 〈C〉『戦場』(battlefield);戦闘(battle) / 〈C〉(スポーツの)『競技場』;(陸上のトラックに対して)フィールド / 〈C〉(ある用途の)場,地面 / 〈C〉(研究・活動などの)『分野』,領域 / 《the~》現地 / 〈C〉(電気・磁気などの)場;(レンズの)視界 / 〈C〉(絵・旗などの)地,下地 / 《the~》《集合的に》(キツネ狩り・競技の)参加者;(競馬の)出走馬;(野球の)守備選手 / (野球・クリケットで)〈打球〉‘を'さばく / 〈選手〉‘を'出場させる,守備につける / (野球・クリケットで)野手をつとめる
fiend	 悪魔(devil),悪鬼 / 邪悪(残忍)な人 / 《話》(趣味などに)凝っている人;)麻薬などの)常習者 
fiery	 『火の』,火のついた,燃えている / (火のように)『ひどく熱い』,『真赤な』,輝く / 『熱烈な』,激しい / (気性などが)激しやすい,荒々しい
fight	 〈両者・数人が〉『戦う』,格闘する,殴り合い(取っ組み合い)のけんかをする;激しく口論する / …‘と'『戦う』 / 〈戦い〉‘を'交える,〈決闘など〉‘を'戦う / …‘を'制圧(克服)しようとする / 〈犬など〉‘を'戦わせる / 〈軍艦・軍隊など〉‘を'指揮する,操縦する / 〈C〉(…との)『戦い』,戦闘;格闘《+『against』(『with』)+『名』》 / 〈C〉(…との)奮闘,闘争(struggle)《+『for』(『with』,『against』)+『名』》 / (また『fighting spirit』)〈U〉『闘志』,ファイト / 〈C〉(…についての)論争,口論《+『over』+『名』》 / 〈C〉(特にボクシングの)試合,勝負 
filar	 糸の,糸飾の 
filch	 〈あまり価値のない物〉‘を'盗む,くすねる 
filet	 =fillet2 
filmy	 (カーテン・氷など)非常に薄い,薄い膜のような / (湯気などで)うっすらとおおわれた
filth	 汚物,不潔な物 / 不潔な状態;(道徳的な)腐敗,堕落 / 卑わい;卑わいな言葉 
final	 《名詞の前にのみ用いて》『最終の』,最後の / 『最終的な』,決定的な(decisive);究極の(ultimate) / 《しばしば複数形で》(競技などの)『決勝戦』 / 《米》学期末試験;《英》《複数形で》(大学などの)最終試験 / 《the ~》《話》(新聞のその日の)最終版 
finch	 スズメ科の小鳥 
first	 (順序・時間的に)『第1の』,1番目の;最初の / (階級・等級・重要度などが)『1番の』,第一級の,首席の,最も重要な / 『最初に』,まっ先に;1番目に,第1位に;初めて / (…するくらいなら)むしろ,いっそ(…のほうがいい)(rather, sooner) / 《通例the~》『最初のもの』;(月の)第1日;(時代の)第1年 / 《通例the~》初め,始まり / 〈U〉ファーストギヤ,低速ギヤ / 〈C〉《英》(競技などの)第1位,1等(試験の)第一級 / 《複数形で》最高級品,一級品 / 〈U〉=first base
firth	 (陸地に細長く込りんだ)河口,入り江 
fishy	 うさんくさい・魚のような,魚くさい / (料理が)魚から成る / (湖・川など)魚のたくさんいる / 《話》(話などが)ありそうにない / (目が)どんよりとした,無表情な 
fiver	 5ドル紙幣;《英話》5ポンド紙幣 
fives	 ファイブズ(三方を囲んだ壁に手またはバットでボールを打つゲーム) 
fixed	 『固定した』,据え付けの / (視線などが)動かない / 確定した,変動しない / 八百長の
fixer	 八百長を仕組む人 / 裏取引をする人 / (写真の)定着液 
fjord	 =fiord 
flack	 =press agent 
flair	 (…に対する)眼識,能力,才能《+『for』+『名』(do『ing』)》 
flake	 (…の)『薄片』,(はげ落たち)一片;(雪・雲・羽毛などの)一片,ひとひら《+『of』+『名』》 / 〈雪などが〉ちらちら降る / (…から)…‘を'薄くはがす《+『名』+『from』(『off』+『名』) 
flaky	 薄片[状]の;薄片から成る / 薄くはがれる
flame	 〈U〉〈C〉《しばしば複数形で》『炎』 / 〈U〉炎のような輝き;炎色 / 〈C〉《おもに文》(…の)(燃えるような)情熱,激情《+『of』+『名』》 / 『炎をあげて燃える』,燃えさかる《+『up』》 / (炎のように)照え映える《+『up』》 / 〈怒り・情熱などが〉燃え上がる;〈人が〉かっと怒り出す《+『out』(『up, forth』)》
flank	 (人・動物の)横腹;わき腹の[筋]肉 / (建物・山・道路などの)わき,横側,側面 / (軍隊の編隊・配置,要塞の)右翼(または左翼) / …‘の'側面に置く(並べる)
flare	 (風などで)〈炎が〉ゆらゆら燃える / 〈怒りなどが〉急に燃え上がえる / (らっぱの口のように)外に向かって開く;〈スカートが〉フレアになっている / 〈U〉ぱっと燃え上がる炎(光) / 〈C〉照明装置;照明弾 / 〈C〉《単数形で》(感情などの)ほとばしり.爆発《+『of』+『名』》 / 〈U〉(らっぱの口のような)(…の)末広がり《+『of』+『名』》 
flash	 (花・炎などの)『ひらめき』,ぴかっと(ぱっと,ちらっと)光ること;閃光(せんこう)《+『of』+『名』》 / (機知などの)『ひらめき』;(喜びなどが)急にわいてくること《+『of』+『名』》 / (写真の)フラッシュ / 瞬間 / ニュース速報,特報 / 『ぱっと光る』,(反射して)きらめく / 〈目などが〉きらりと(ぎらっと)光る / (心に)〈言葉・考えなどが〉『ひらめく』《+『through』(『into, across』)+『名』》 / 《副詞[句]を伴って》〈人・車などが〉さっと通り過ぎる / …‘を'ぱっと照らす;〈火・光〉‘を'ぱっと発する / …‘を'ちらり(ぴかり,ぎらり)とさせる / (…に)〈サイン・視線など〉‘を'すばやく送る,さっと送る《+『名』+『at』+『名』》 / (電信で)…‘を'急送する,速報する / 急で短い,瞬間的な / 《英話》(現代ふうで)気のきいた 
flask	 (実験用の)フラスコ / (一般に)びん;(特に携帯用の)薄型の小びん
fleck	 斑点(はんてん),そばかす(freckle) / (…の)細片,薄片(flake);微量《+『of』+『名』》 / (…で)…‘に'斑点をつける,‘を'まだらにする《+『名』+『with』+『名』》 
flesh	 (人間・動物の)『肉』 / (魚,時には鳥を除く)食肉(meat) / 肉付き,太りぐあい / (くだもの)果肉;(野菜の)葉肉 / 《the~》(精神・魂に対して)『肉体』,身体 / 《the~》肉欲 / 肉色(ピンクがかった肌色) 
flick	 軽い一打ち;(指先での)一はじき;(手首などの)す早い一振り / ピシッ(パチッ)という音 / 《the flicks》《俗》映画 / (むちなどで)…‘を'ピシッ(パチッ)と打つ《+『名』+『with』+『名』》 / …‘を'はじいて動かす / …‘を'ぱっと(さっと)払いのける《+『away』(『off』)+『名,』+『名』+『away』(『off』)》;(…から)…‘を'ぱっと払う《+『名』+『off』(『from』)+『名』》
flied	 fly(野球で「フライを打つ」の意味のとき)の過去・過去分詞 
fling	 《副詞[句]を伴って》…‘を'『投げる』,ほうり出す / 《副詞[句]を伴って》〈頭・腕・身体など〉‘を'投げかける,投げるように動かす / (ほうり出すように)急に(荒々しく)動く / (…を)『振って投げること』;振り動かすこと《+『of』+『名』》 / (定期間の)したいほうだい,かって気まま / 身ぶりの活発なスコットランドのダンス
flint	 火打ち石;ライターの石 
flirt	 〈男女が〉ふざける;(…と)いちゃつく《+『with』+『名』》 / (考え・危険などを)もてあそぶ,(…に)おもしろ半分に手を出す《+『with』+『名』(do『ing』)》 / 浮気男(女) 
float	 (液体・気体に)『浮く』,浮かぶ / 《副詞[句]を伴って》漂うように移動する;ふわふわと動く / (眼前・心に)浮かぶ;〈うわさなどが〉広まる / 〈為替相場が〉変動する / 《副詞[句]を伴って》(水中・空中に)…‘を'『浮かせる』,漂わせる / 〈会社・計画など〉‘を'起こす;〈債券〉‘を'発行する / 〈為替〉‘を'変動相場制にする / 浮くもの(釣りのうき,いかだ,浮標,浮き袋,救命具など) / (パレードなどの)山車(だし),台車 / フロート(アイスクリームを浮かせた軽い飲みもの)
