have	 (また《話》『have got』)〈物〉‘を'『持っている』,所有している(進行形にできない)・(また《話》『have got』)〈親類・友人など〉‘が'『いる』,‘を'持っている,〈召使など〉‘を'かかえている;〈動物〉‘を'飼っている(進行形にできない) ・(また《話》『have got』)(特質・付属物として)…‘を'『備えている』,‘が'ある(進行形にできない) ・(また《話》『have got』)〈感情・意見など〉‘を'持つ,抱く(進行形にできない) ・《『have to』do》(また《話》『have got to』do)…『しなければならない』;《不定文で》…する必要がある・《『have to be』…》…に違いない・〈ある状態〉‘を'経験する,〈病気〉‘に'かかる / …‘を'食べる,飲む,〈たばこ〉‘を'吸う・《動作を表す名詞を目的語にして》《話》〈ある動作・行為〉‘を'する,行う・《『have』+『名』〈人〉+do》《しばしばwill, wouldと共に》〈人〉‘に'(…)させる,してもらう,される / 《『have』+『名』+『過分』》…‘を'(…)させる,される,してもらう・《+『have』+『名』+『形』(『名』,『過分』,do『ing』)〈補〉》…‘を'(…の)状態に保つ,(…の)ままにしておく(進行形にできない) / …‘を'得る,もらう,受ける(進行形にできない) ・〈人・動物が〉〈子〉‘を'産む,もうける・《通例否定文で》…‘を'許す,認める・(財産・社会的地位などを)持っている人;(資源・核兵器を)持っている国
stay	 《副詞[句]を伴って》『とどまる』,いる / (訪問者・客として)(…に)『滞在する』,泊まる《+『at』(『in』)+『名』〈場所〉,+『with』+『名』〈人〉》 / 『じっとしている』《stay+名(形,過分)〈補〉…のままでいる》 / …‘を'押しとどめる,引き止める / …‘の'間滞在する / 《おもに文》〈食欲など〉‘を'一時的にいやす(満たす) / 〈判決など〉‘を'延期する,猶予する / …‘を'最後までもちこたえる,がんばり通す《+『名』+『out』》 / 〈C〉《単数形で》『滞在』,とう留 / 〈C〉〈U〉停止,休止 / 〈C〉〈U〉(執行などの)猶予,停止 
sign	 (ある事実・状態・感情などの)『表れ』,印,気配,徴侯(indication);(…の)こん跡,計跡《+『of』+『名』》・『身ぶり』,手まね,合図 / 『標識』,看板 / (数学・音楽などの)記号 / (…の)『象徴』,シンボル(symbol)《+『of』+『名』》・《文》(…の)『前兆』,きざし《+『of』+『名』》・宮(きゅう)(黄道12区分の一つ) ・〈手紙・書類・作品など〉‘に'『署名する』・(…に)〈名前など〉‘を'書く《+『名』+『on』(『to』)+『名』》 / …‘を'雇う契約に署名する・…‘を'合図する,知らせる;…に合図する・署名する・契約書に署名して雇われる 
wish	 《現在の反対への願望を表して》《wish+that『節』》…『であればよいのにと思う』 / 《過去の事実と反対の仮定・想像を表して》《wish+that『節』》…『であればよかったのにと思う』 / …‘を'『望む』,したい / 《『wish』+『名』〈人〉+『名』=+『名』+『to』+『名』〈人〉》〈人〉に〈あいさつ,幸運を祈る言葉など〉‘を'『述べる』,言う,祈って言う / 《実現の可能性がある願望》…であればよいと思う / (…に)…‘を'押しつける,無理して頼む《+『名』+on(upon)+『名』》 / (…を)『望む』,ほしがる《+for+『名』》 / (…に)願いをかける《+on(upon)+『名』》 / 〈C〉〈U〉『願い』,願望,希望 / 〈C〉《複数形で》(人の幸福などを願う)『祈願』,好意 / 〈C〉『望みの物』,願いごと 
wide	 『幅の広い』 / 《修飾語を伴って》『幅が…の』,…の幅の / 『広範囲な』,多方面にわたる;広大な / 『大きく開いた』 / (球が)大きくそれた / 『広く』,広範囲に / 『広く開いて』,十分に開けて 
unit	 《集合的に》『構成単位』;(学習の)『単元』;(全体を構成する)部門,部隊 / (特定用途の)設備[一式],器具[一そろい] / (測定基準としての)『単位』;(…の)単位《+of+名》,(…する)単位《+for doing》 / 正の最小整数(1)
drop	 〈しずくが〉『したたる』,垂れる《+『down』》 / 〈物が〉『落ちる』,落下する《+『down』》 / 〈人が〉『ばったり倒れる』,崩れ落ちる / 『下落する』,減少する《+『off』(『away』)》 / 終わる,やめになる / 《副詞[句]を伴って》引き離される,落後する / (…から)手を引く,やめる《+『from』(『out of』)+『名』》 / (…に)ちょっと立ち寄る,(…を)ひょっこり訪ねる《+『in』(『by,over,round』)『at』(『on』)+『名』》 / …‘を'『したたらせる』,垂らす / (…へ)…‘を'『落とす』,落下させる《+『名』+『into』(『on』)+『名』》 / …‘を'降ろす,下げる / …‘を'減少させる / …‘を'漏らす,ふと口にする / 〈人〉に〈短い手紙・伝言〉‘を'送る / 《話》…‘を'なぐり倒す,撃ち落とす / 《話》《副詞[句]を伴って》〈人〉‘を'乗り物から降ろす / (…から)〈ある音・文字〉‘を'落とす,抜かす,省く《+『名』+『from』+『名』》 / 〈人〉‘と'関係を絶つ;〈問題など〉‘を'打ち切る / …‘を'やめさせる;(…から)…‘を'追い出す《+『名from』+『名』》 / (ばくちなどで)〈金〉‘を'なくす / 〈C〉(…の)『しずく』,したたり《+『of』+『名』》 / 〈C〉(液体・事物の)少量,微量《+『of』+『名』》 / 〈C〉あめ玉,ドロップ / 《a ~》落下,降下(fall);落下距離 / 《a ~》(…の)下落,減少《+『in』+『名』》 / 《複数形で》点滴薬 / 《話》《a ~》少量の酒 / 〈C〉《おもに米》(郵便箱などの)落とし口,差し入れ口
cold	 『寒い』,冷たい;冷えた,冷やした / (性格・態度などが)『冷たい』,冷淡な,熱意のない;無情な,冷酷な / (物事が)人をがっかりさせる,つまらない / (色調が)冷たい,寒色の / (獲物のにおい臭が)かすかな,弱い / 《話》(打撃などで)意識を失った,失神した / 完全に,全く / 〈U〉《しばしばthe~》『寒さ』,寒け,冷たさ / 〈C〉,時に〈U〉『かぜ』,感冒 
fine	 罰金 / 〈人〉‘に'罰金を科する:
mark	 〈C〉(…の表面についた)『跡』,汚れ,はん点《+『on』+『名』》 / 〈C〉『印』,記号,符号,標章 / 〈C〉《おもに英》(学業などの)『点数』,成績,評価,(…の)得点《+『in』(『for』)+『名』》 / 〈C〉(ある性質の)『徴候』,『特徴』,現れ,様相《+『of』+『名』》 / 〈C〉(思想・生活などに及ぼす)『影響』,感化《+『on』+『名』》 / 〈C〉(境界などの)位置を示すもの,指標,目印 / 〈C〉『的』,標的 / 〈C〉《the mark》水準,標準 / 〈U〉《文》著名,重要性;名声 / 〈C〉(軽べつ・もの笑いなどの)対象,的 / 〈U〉《通例M-》武器記号,…型 / 〈C〉スタートライン / (…で)…‘に'『印をつける』,跡をつける《+『名』++『with』+『名』》 / 〈物が〉…‘を'印となっている,‘を'示している / …‘を'印(記号など)で示す / 〈物・事柄などが〉…‘を'『特徴づける』,目立たせる / 〈答案など〉‘に'点(印)をつける / (…の候補に)…‘を'選び出す《+『名』+『out for』+『名』》 / …‘に'注意を払う,柱目する 
east	 《the~》『東』;(…の)東方,(…の)東部《+『of』+『名』》 / 《the East》『東洋』(the Orient) / 《the East》《米》東部地方 / 『東の』,東方の,東部の;東からの / 『東に』,東方へ 
game	 〈C〉『遊び』,遊戯 / 〈C〉『競技』,試合;《複数形で》競技[大]会 / 〈C〉(1試合の一部をなす)1ゲーム,1勝負 / 〈C〉〈U〉試合ぶり,ゲーム運び / 〈U〉(試合途中の)得点 / 〈C〉ゲーム用品,遊び道具 / 〈C〉(商売などの)競争 / 〈C〉計略,策略 / 〈U〉〈C〉冗談,たわむれ,いたずら / 〈U〉《集合的に》猟の獲物;獲物の肉 / 〈U〉《米話》職業,仕事,商売 / 闘志のある,勇気のある / 《補語にのみ用いて》《話》元気(気力)がある / かけ事(とばく)をする(gamble)
cent	 〈C〉『セント』(1ドルの1/100;米国・カナダの貨幣単位;《略》￠) / 〈C〉1セント銅貨 / 〈U〉(単位としての)100 
sort	 『種類』,部類(kind) / 性格,性質,タイプ / 《おもに英話》《単数形で》(ある)種類の人 / …‘を'分類する,区分けする;えり分ける,選び出す《+『名』+『out,』+『out』+『名』》
club	 『こん棒』 / (ゴルフなどの)『クラブ』,打球棒 / (社交・スポーツなどの)『クラブ』,同好会;クラブ室,クラブ会館 / (カードで)クラブのマーク;クラブの札;《複数形で》《単数・複数扱い》クラブの組 / ナイトクラブ / …'を'こん棒でなぐる
ship	 (おもに大洋を航行する)船,大型船 / (船の)乗組員 / 《話》飛行機,飛行船;宇宙船 / シップ型帆船 / …‘を'『船で送る』,船に積む;(郵便・鉄道・トラック・飛行機などで)…‘を'『送る』,輸送する / 〈船が〉〈波〉‘を'かぶる / 〈船具〉‘を'船に取り付ける / 乗船する;船旅をする / (…として)船で働く,船員になる《+『as』+『名』》 
wear	 <服・靴・帽子・装飾品・ひげなど>‘を'『身につけている』 / 〈ある表情・態度など〉‘を'『表している』,示している / (使用して)…‘を'『すり減らす』,使いふるす;(摩擦などで)…‘を'を損なう / 〈穴・みぞなど〉‘を'すり減らして作る(あける) / (使用・摩擦などで)『すり減る』,すり切れる / 《様態・時間を表す副詞[句]を伴って》〈品物などが〉長もちする / 『着用』,使用 / 《集合的に》《単数扱い》『衣類』,衣料品 / すり切れ,消耗,摩滅 / (衣類などの)耐久力,もち
ride	 (馬・自転車・電車などに)『乗って行く』,『乗っている』《+『on』(『in』)+『名』》;乗馬をする,馬に乗る / (人の肩・背などに)馬乗りになる,またがる《+『on』+『名』》 / 《副詞[句]を伴って》(波間・空間などに)浮かぶ;(波・風に)乗って進む / (…に)支えられて(載せられて)動く《+『on』(『upon』)+『名』》 / 《状態を表す副詞[句]を伴って》〈馬・車などが〉乗りごこちが…である;〈地面・走路などが〉走りごこちが…である / (正常な位置から)〈衣服などが〉ずり上がる,持ち上がる《+『up』》 / 《話》(中断されずに)そのまま進行する / 〈馬・自転車・電車など〉‘に'『乗って行く』 / 〈風・波など〉‘に'乗って進む(運ばれる) / 《副詞[句]を伴って》(乗物などに)〈人・物〉‘を'乗せて行く,乗せて運ぶ / 〈道路・地域など〉‘を'馬で進む,乗物で通る / 《おもに米話》(…のことで)〈人〉‘を'からかう,あざける《+『名』+『about』+『名』》 / (馬・乗物などに)乗ること;(馬・乗物などを利用した)小旅行 / 遊園地の乗物(大回転観覧車・回転木馬・ジェットコースターなど) / (特に,森の中の)乗馬道 / (馬・乗物などの)乗りごこち / 〈人〉を自動車で連れ出して殺す 
sale	 〈U〉〈C〉(…の)『販売』,売却,売れ行き,需要《+『of』(『for』)+『名』》 / 〈C〉『特売』,安売り / 《複数形で》販売[の仕事];売り上げ[高] 
park	 (町の中の)『公園』,庭園 / 自然公園 / 《米》(観覧席などで囲まれた)競技場;《英》サッカー場 / 《英》(貴族や大地主の邸宅の)広大な敷地,大庭園 / =parking lot / 〈車〉‘を'『駐車する』 / 《話》(ある時間)〈物〉‘を'置く,預ける / 『駐車する』
vote	 〈C〉『票』 / 〈C〉『投票』;(投票・挙手・起立などの)意志表示 / 〈C〉(…に関する)(投票・挙手・起立などによる)『決定』,票決《+on(about)+名》 / 《the vote》《時に複数形で》『投票権』,選挙権 / 《the vote,時に a vote》《集合的に》投票数,得票[数] / 投票する / 〈人〉‘に'『票を入れる』,投票する / 〈法案・予算など〉‘を'可決する / 《vote+名+名〈補〉》《話》《しばしば受動態で》世間が一致して…‘を'(…と)見なす / 《vote+that 節》《話》…すること‘を'提案する
lack	 …‘を'『欠く』,‘が'ない(受動態にできない) / (…になるまでに)…‘だけ'不足する《+『名』+『of』[『being』]+『名』》 / 〈U〉《時にa~》(必要なものの)『欠乏』,不足;(…が)ないこと《+『of』+『名』》 / 〈C〉欠けて(不足して)いるもの
hair	 〈C〉(人間・動物の1本の)『毛』;(植物・昆虫などの)毛 / 〈U〉《集合的に》『髪の毛』,毛,毛髪;(動物の)体毛 / 《a~》1本の毛ほどの量(距離,程度),ごくわずか 
blue	 『青い』,あい色の / 青黒い / 《話》陰気な,憂うつな / 〈U〉『青色』,あい色;青色の着物 / 〈U〉〈C〉青色絵の具,あい色染料 / 《the~》《詩》青空,青い海 / 《the blues》《話》気のふさぎ,うれいの色 / 《the blues》《ときに単数扱い》(ジャズ音楽の)ブルース / …'を'青色にする 
fair	 《米》(農産物・家畜などの)『品評会』;(一般に)『博覧会』 / 《英》定期市,縁日(特に祭日などに定期的に開かれ,見世物などが出てにぎわう) / 慈善市(bazaar) 
sing	 『歌う』;(…に)歌って聞かせる《+『to』(『for』)+『名』》;(楽器に合わせて)歌う《+『to』+『名』》・〈小鳥・虫などが〉『鳴く』,さえずる / 《文》(…を)詩(歌)にする,(詩(歌)を詠んで)賛美する《+『of』+『名』》・〈小川・風・弾丸・湯沸かし・耳などが〉歌うように鳴る・《米語》自白する;密告する・〈歌〉‘を'歌う・《副詞[句]を伴って》歌って…‘を'(…に)する・…‘を'唱える,詠唱する・《文》…‘を'詩(歌)にする,(詩(歌)に詠んで)賛美する・合唱の集い
race	 競走,レース;競技会,(特に)競馬 / (一般に)競争;(…を得るための)競争《+『for』+『名』》 / 水の速い流れ,急流,早瀬;(水車などの)水路 / 《おもに文》(事件・話などの)進行;(太陽・月の)運行;)時の)経過;人生の行路 / (…と)『競走する』《+『with』(『against』)+『名』》,(…のために)『競争する』《+『for』+『名』》 / 《方向などの副詞[句]を伴って》疾走する,急ぐ / 〈機械などが〉高速で作動する,〈エンジンなどが〉空転する / …と『競走する』 / (…と)…‘を'『競走させる』,全速力で走らせる《+『名』+『against』+『名』》 / 〈機械など〉‘を'高速で作動させる,〈エンジンなど〉‘を'空転させる
