abed	 寝床に(in bed) 
fast	 『速い』,急速な,すばやい,敏速な / (時計が)『進んでいる』 / 『しっかりした』,ぐらつかない / 心の変わらない,忠実な(faithful) / (色が)あせない / 《古》(女性が)身持ちの悪い;《まれに》(生活が)享楽的な / (フイルムが)高感度の,(レンズが)高速撮影用の / 『速く』;すばやく(quickly) / 『しっかりと』,固く(firmly) / 『ぐっすりと』(soundly) / どしどし,ひっきりなしに 
fate	 〈U〉『運命』,宿命 / 〈U〉(運命として定められた)最期,破滅,(特に)死 / 《the Fates》(ギリシア・ローマ神話の)運命の三女神(Clotho,Lachesis,Atropes) / …‘を'運命づける
faun	 フォーン(ローマ神話の林野・牧畜の神で半人半羊の姿をし,みだらな性質をもつといわれる;ギリシア神話ではsatyrと呼ばれる) 
fawn	 〈C〉(1歳以下の)子ジカ,(特に)黄ジカの1歳児 / 〈U〉淡黄茶色 / 淡黄茶色の 
faze	 …‘の'心を騒がせる,‘を'あわてさせる,‘を'たじろがせる 
fear	 〈C〉〈U〉『恐れ』,恐怖(dread) / 〈C〉〈U〉『不安』,心配,気づかい(anxiety) / 〈U〉(神に対する)おそれ,崇敬(awe) / …‘を'『恐れる』,こわがる(進行形にできない) / …‘を'『気づかう』,あやぶむ / 《古》〈神など〉‘を'恐れる / 恐れる,こわがる / (…を)気づかう,心配する《+『for』+『名』》
feat	 『手柄』,功績 / 芸当,離れ業
felt	 feelの過去・過去分詞 
fend	 …‘を'避ける / 抵抗する
fern	 シダ;《集合的に》シダの群生 
feud	 (長く続く)不和,反目 / (2家族間で)反目する
fiat	 (権力者の)命令,布告;(…という)命令《+『that節』》 
file	 やすり / …‘に'やすりをかける;…‘を'やすりで切る(削り取る)
film	 〈C〉(…の)『薄皮』,薄膜,薄い層《+『of』+『名』》 / 〈U〉〈C〉(写真の)『フイルム』 / 〈C〉《おもに英》『映画』;《the films》《集合的に》映画 / …‘を'薄膜でおおう / …‘を'フイルムに写す,(映画に)撮影する / 〈小説など〉‘を'映画化する / (ほこり・氷などで)うっすらとおおわれる《+『over with』+『名』》 / 映画化される
find	 (偶然に)…‘を'『見つける』(進行形にできない) / …‘を'『見つけだす』,捜しだす(進行形にできない) / 〈今まで知られていない事・物〉‘が'『分かる』,知る,気がつく《+『名』+『out,』+『out』+名》 / 《しばしば受動態で》…‘が'存在することを知る / …‘に'届く,達する / 〈評決・判決〉‘を'下す,裁定する / …‘を'支給する;(…を)…‘に'支給する,供給する(provide)《+『名』+『in』+『名』》 / (特に,貴重な)発見物,掘出し物
fine	 罰金 / 〈人〉‘に'罰金を科する:
fink	 密告者 / ストライキ破り / 卑しい人間,いやなやつ 
fire	 『火』,炎 / 〈C〉『燃えているもの』,炉火,たき火 / 〈C〉〈U〉『火事』,火災 / 〈U〉(火のような)熱情,情熱 / 〈U〉(鉄砲などの)発射,射撃,砲火 / <炉など>‘に'『燃料をくべる』,‘の'火をたく《+『up』+『名,』+『名』+『up』》 / …‘に'『火を付ける』,‘を'燃やす / <陶器など>‘を'焼く,焼いて作る / (…に向けて)<銃砲など>‘を'撃つ,<弾丸・ロケットなど>‘を'発射する《+『off』+『名』(+『名』+『off』)+『at』+『名』》 / (…で)<感情など>‘を'燃え立たせる,<人>‘を'興奮させる《+『名』+『with』+『名』》 / 《話》(…)<石・ボールなど>‘を'投げつける,<質問・批評など>‘を'浴びせる《+『名』+『at』+『名』》 / 《話》(…から)<人>‘を'首にする,解雇する(dismiss)《+『名』+『from』+『名』》 / (…に向かって)<人が>『発砲する』,<銃などが>発射される《+『名』+『at(into,on,upon』)+『名』》 
firm	 (物が)『堅い』,堅固な,引き締まった / 『しっかり固定した』,ぐらつかない / (人・信念・友情などが)変わらない / 断固とした,決然たる / (価格・価値が)安定している / しっかりと / …‘を'固める,堅くする《+『up』+『名,』+『名』+『up』》 / …‘を'安定させる / 安定する《+『up』》 
fish	 {C}『魚』;《集合的に》魚類 / {U}魚肉,魚 / {C}《話》人,やつ / 〈魚〉‘を'『とる』,釣る,捕まえる;〈小川・湖など〉‘で'魚をとる,漁をする / 釣りをする,魚をとる,漁をする 
fist	 『握りこぶし』,げんこつ 
five	 〈C〉(数の)『5』;5の記号(5,Vなど) / 〈C〉5時,5分;5歳 / 〈U〉《複数扱い》5人,5個 / 〈C〉5人(5個)1組のもの / 〈C〉(カードの)5の札 / 『5の』,5個の;5人の / 《補語にのみ用いて》5歳の(で) 
flab	 筋肉などのたるみ(ゆるみ) 
flag	 (国家・団体などを象徴する)『旗』;(信号用の)旗 / …‘に'旗を立てる,‘を'旗で飾る / 〈人・車など〉‘に'旗(手)を振って止める《+『名』+『down』,+『down』+『名』》 
flak	 対空砲[火] / 非難攻撃
flan	 フラン(果物・チーズ入りパイ) 
flap	 〈帆・旗などが〉『はためく』 / 『羽ばたく』 / 〈翼など〉‘を'羽ばたかせる,パタパタ(ハタハタ)と動かす / (平たくしなやかなもので)…‘を'ぴしゃりと打つ / ピシャりとたたくこと / (片方だけ留めて)垂れ下がった薄いもの;(特に)(ポケットの)垂れぶた,(封筒の)折り返し / (飛行機の)下げ翼 / 《話》興奮状態
flat	 平『平らな』,平たんな / 《補語にのみ用いて》べったりと広がった(横になった) / 薄っぺらな(shallow) / 《名詞の前にのみ用いて》露骨な,あからさまな;(positive) / (料金・価格などが)均一(一律)の(uniform) / たいくつな,おもしろくない,気の抜けた / (発泡飲料が)気の抜けた / 空気のはいっていない,しぼんだ / (絵画で色調が)変化に乏しい,光沢を消した / (音楽で)変音の,半音下がった / 『きっぱりと』 / 正確に,きっかり / 本来の音程より下げて / 『平面』,平たい部分 / 平地,低地;《複数形で》湿地,沼地,浅瀬 / 枠張り物(舞台背景用のベニヤ・布などを張った枠組み) / 《おもに米》空気の抜けたタイヤ;パンク / 半音低い音,変音;変音記号
flaw	 (ガラス・陶器などの)割れ目,ひび,傷 / (…の)欠点,欠陥《+『in』+『名』》 / …‘に'傷をつける / 傷ができる
flax	 亜麻 / 亜麻の繊維(リンネルがつくられる)
flay	 〈生き物〉‘の'皮をはぐ / …‘を'厳しくしかる
flea	 ノミ 
fled	 fleeの過去・過去分詞 
flew	 flyの過去形 
flex	 (仕事などを始める準備運動として)〈手足など〉‘を'曲げる,〈筋肉〉‘を'縮める 
flip	 …‘を'はじく,ぽんとほうり上げる,はじき上げる / …‘を'くるっとひっくり返す《+『over』+『名,』+『名』+『over』》 / ぽんとはじける,ぐいと動く / 《俗》興奮してぴくっとする / はじくこと,ぱちんとひっくり返すこと / (言葉などが)軽薄な;生意気な
flit	 〈鳥・コウモリなどが〉すいすい(ひらひら)飛ぶ / 〈思い・表情などが〉かすめる / すいすい(ひらひら)飛ぶこと 
floe	 浮氷塊;(浮氷塊から割れた)浮氷片 
flog	 (特にこらしめのために)…‘を'むち打つ 
flop	 ばったりと倒れる,どさりと腰かける / パタパタ動く / 《話》失敗する / …‘を'どさっと投げる / ばったり落ちる(倒れる)こと / どさっと落ちる音 / 《話》大失敗;失敗者 
flow	 《副詞[句]を伴って》〈気体・液体・電気などが〉『流れる』 / 《副詞[句]を伴って》〈言葉・人々などず〉流れるように続く / 〈心・場所などが〉(…で)いっぱいになる,満ちあふれる《+『with』+『名』》 / 《副詞[句]を伴って》〈髪・服などが〉長く垂れる;風になびく / 〈潮が〉満ちる / (…から)生じる,発生する《+『from』+『名』》 / 〈C〉《単数形で》(気体・液体・電気などの)『流れ』《+『of』+『名』》 / 〈C〉《単数形で》(言葉・人などの)絶え間のない(よどみのない)流れ《+『of』+『名』》 / 〈C〉《単数形で》(…の)洪水,はんらん《+『of』+『名』》 / 〈U〉《the flow》満ち潮,上げ潮
flub	 …‘を'失敗する,‘で'へまをやる / 失敗する,へまをやる / 失敗,へま 
flue	 煙突などの煙・蒸気・排気ガスなどの)通路,導管;(煙突の)煙道,(煙管ボイラーの)炎管 
flux	 流動,流れ;上げ潮 / 絶え間ない変化,流転(るてん) / 融剤,フラックス / (流体・粒子・エネルギーの)流量,流束,流動率 / (電気・磁気の)束(そく) / (体内の液体の)異常流出,異常排出
foal	 ウマ科の動物(馬・ロバ・シマウマなど)の子;(特に)ウマ科の動物の1歳未満の子 / 〈雌馬が〉子馬を生む / 〈雌馬が〉〈子馬〉‘を'生む 
foam	 (液体表面の)『泡』(あわ)[のかたまり] / 《話》=foam rubber / 『泡立つ』 / 泡立って流れる(吹き出る)
foci	 focusの複数形 
fogy	 時勢遅れの人,がんこで旧弊な人 
foil	 〈U〉金属の薄片,箔(はく) / 〈C〉(比較・対照により他者の)引き立て役となる人(物)《+『for(to)』+『名』》
fold	 《副語[句]を伴って》〈紙など〉‘を'『折る』,折り重ねる / 〈両手など〉‘を'『組む』;〈鳥が〉〈翼〉‘を'畳む / (…に)…‘を'巻き付ける《+『around(about)』+『名』》 / …‘を'抱き締める(embrace) / 《副語[句]を伴って》〈扇などが〉折リ畳める / 《話》〈事業などが〉つぶれる,閉じる《+『up』》 / ひだ / 折り目,畳み目 / (土地の)くぼみ / 起伏
folk	 《米はしばしば複数形で》(住所・年齢・境遇などの特殊な)『人々』 / 《米はしばしば複数形で》(一般の)人々,世人(people) / 《話》《one's folks》『家族』;親族;両親 / 《古》民族,種族;国民 / =folk song / 《話》《呼び掛けに用いて》皆さん,お立ち合い / 民衆(庶民)に起源を持つ,民衆(庶民)の;民俗の 
fond	 《補語にのみ用いて》(…を)『好んで』,好きで《+『of』+『名』(do『ing』)》 / 《名詞の前にのみ用いて》『優しい』,愛情のある(loving) / 《名詞の前にのみ用いて》優しすぎる,甘い / 《名詞の前にのみ用いて》(希望など)深く心に抱いた,ひとりよがりの
font	 (教会で洗礼用の水を入れる)洗礼盤 / 《詩・文》泉(fountain);源泉(source)
fora	 forumの複数形 
fore	 (乗り物の)前部の,前方の / 船首に,(へ) / 前部,前面 
fork	 (食卓用の)『フォーク』 / くま手,またぐわ / (川・道路などの)分岐点;別れ道,分流,分枝 / 〈干し草など〉‘を'くま手でかき上げる(刺す) / (川・道路・枝などが)分岐する / 〈人が〉(左右の)別れ道をとる
form	 〈C〉〈U〉(色・材質に対して)『形』,形状,姿 / 〈C〉『人体』,体つき / 〈C〉〈U〉『外観』,格好,人影 / 〈C〉〈U〉(ものの現れる)『形態』,形式 / 〈C〉(生物などの)『種類』,品種 / 〈U〉(芸術作品の)表現形式 / 〈U〉(特にスポーツで)(競技者の)フォーム / 〈U〉(心身の)調子,元気 / 〈C〉(印刷された)書き込み用紙,ひな形 / 〈U〉《話》(ある集団などの)やり方,仕方,方式 / 〈C〉〈U〉しきたり,伝統的な儀式 / 〈C〉(英国の学校・米国のある学校で)学年,学級 / 〈U〉〈C〉(意味に対する)形態,形;語形 / 〈C〉(通例寄りかかりのない)長い木のいす / 〈素材〉‘に'形を与える,(…に)…‘を'形作る《+『名』+『into』+『名』》 / (素材から)…‘を'形作る《+『名』+『out of』+『名』》 / …‘を'組織する,構成する / 〈考えなど〉‘を'まとめる,思い付く;〈計画など〉‘を'立てる / 〈習慣など〉‘を'身に付ける;〈交際など〉‘を'結ぶ / 〈文章など〉‘を'組み立てる;〈複数形など〉‘を'作る / (ある順序に)配列する,整列させる / 〈物が〉形を成す / 生じる,現れる / (…に)なる《+『into』+『名』》
fort	 『とりで』,堡塁(ほるい) 
foul	 『汚い』,不潔な(dirty);不快な,むかつくような / (行為などが)『邪悪な』;(言葉・話などが)下品な,みだらな / 《名詞の前にのみ用いて》(競技で)『反則の』;(野球で)ファウルの / (天候が)悪い / 《名詞の前にのみ用いて》(パイプ・煙突などが)詰まった / 《話》いやな,ひどい / 不正に,違法に / 〈C〉(競技の)『反則』 / =foul ball / 〈物・場所など〉‘を'汚す,〈評判・名声など〉‘を'汚す / 〈ロープなど〉‘を'もつれさせる,からませる / (競技で)〈相手〉‘に'対して反則行為をする;(野球で)〈投球〉‘を'ファウルする / 汚れる / 〈ロープなどが〉もつれる;〈網などが〉(…に)からまる《+『on』+『名』》 / (競技で)反則をする;(野球で)ファウルを打つ 
